Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
str_zlv_sedan_02_hood0,Škoda 125 L Hood,Škoda 125 L Hood,Škoda 125 l kapuce,ŠKODA 125 L Motorhaube,Капот Škoda 125 L,Škoda 125 l Hood,Škoda 125 L Hood,Škoda 125 L Hood,ŠKODA 125 L capucha,Hood Škoda 125 L,škoda125 L HOOD,シュコダ125 Lフード,Škoda 125 l capuz,škoda125 L HOOD
str_zlv_sedan_02_hood1,Hood of the Škoda 125 L. Used for keeping hood contents safe.,Hood of the Škoda 125 L. Used for keeping hood contents safe.,Hood of Škoda 125 L. Používá se pro udržení obsahu kapuce v bezpečí.,"Kapuze der ŠKODA 125 L. verwendet, um den Kapuzengehalt sicher zu halten.",Капот Škoda 125 L. Обеспечивает безопасность содержимого капота.,Kaptur Škoda 125 L. Używany do zapewnienia bezpieczeństwa zawartości kaptura.,A ŠKODA 125 L. motorháztet?je a motorháztet? tartalmának biztonságának meg?rzéséhez.,Cappuccio di Škoda 125 L. Utilizzato per proteggere il contenuto del cofano.,Capó del Škoda 125 L. utilizado para mantener seguro el contenido del capó.,Hotte de la škoda 125 L. utilisée pour garder le contenu du capot en sécurité.,škoda125 L.的引擎盖用于确保引擎盖内容的安全。,シュコダ125 Lのフード。フードの内容を安全に保つために使用されます。,Hood do Škoda 125 L. Usado para manter o conteúdo do capô seguro.,škoda125 L.的引擎盖用于确保引擎盖内容的安全。
str_zlv_sedan_02_trunk0,Škoda 125 L Trunk Door,Škoda 125 L Trunk Door,ŠKODA 125 L Dveře kufru,Škoda 125 l Kofferstür,Дверь багажника Škoda 125 L,Škoda 125 l Door Trunk,Škoda 125 l csomagtartóajtó,Škoda 125 L Porta del bagagliaio,ŠKODA 125 L PUERTA DEL CANDO,Škoda 125 l porte de coffre,škoda125 l躯干门,シュコダ125 Lトランクドア,Škoda 125 l porta de porta -malas,škoda125 l躯干门
str_zlv_sedan_02_trunk1,Trunk door of the Škoda 125 L that helps to protect the engine and other sensitive car parts.,Trunk door of the Škoda 125 L that helps to protect the engine and other sensitive car parts.,"Dveře kufru Škoda 125 l, které pomáhají chránit motor a další citlivé části automobilu.","Kofferraumtür der Škoda 125 L, die zum Schutz des Motors und anderer empfindlicher Autoteile hilft.",Дверь багажника Škoda 125 L. Помогает защитить двигатель и другие важные детали автомобиля.,"Drzwi pnia Škoda 125 L, które pomagają chronić silnik i inne wrażliwe części samochodu.","A ŠKODA 125 L csomagtartó ajtaja, amely segít megvédeni a motort és más érzékeny autóalkatrészeket.",Porta del bagagliaio della Škoda 125 L che aiuta a proteggere il motore e altre parti di auto sensibili.,Puerta del tronco del Škoda 125 L que ayuda a proteger el motor y otras partes sensibles del automóvil.,Porte de tronc du škoda 125 L qui aide à protéger le moteur et d'autres pièces de voitures sensibles.,škoda125 L的中继门有助于保护发动机和其他敏感的汽车零件。,エンジンやその他の敏感な車の部品を保護するのに役立つシャコダ125 Lのトランクドア。,"Porta do porta -malas do Škoda 125 L, que ajuda a proteger o motor e outras peças sensíveis ao carro.",škoda125 L的中继门有助于保护发动机和其他敏感的汽车零件。
str_zlv_sedan_02_wheel0,Škoda 125 L Wheel,Škoda 125 L Wheel,Škoda 125 L Kolo,Škoda 125 l Rad,Колесо Škoda 125 L,Škoda 125 l Wheel,Škoda 125 l kerék,Škoda 125 L ruota,ŠKODA 125 L.,Škoda 125 l roue,škoda125 L轮,シュコダ125 Lホイール,Škoda 125 l roda,škoda125 L轮
str_zlv_sedan_02_wheel1,Wheel of the Škoda 125 L. The tire pattern isn't really designed for off-road performance.,Wheel of the Škoda 125 L. The tire pattern isn't really designed for off-road performance.,Kolo Škoda 125 L. Vzor pneumatik není ve skutečnosti navržen pro výkon v terénu.,Rad der ŠKODA 125 L. Das Reifenmuster ist nicht wirklich für Offroad-Leistung ausgelegt.,Колесо Škoda 125 L. Рисунок протектора не предназначен для езды по бездорожью.,Wheel of the Škoda 125 L. Wzór opon nie jest tak naprawdę zaprojektowany do wydajności w terenie.,A ŠKODA 125 L. kereke. A gumiabroncsmintát nem igazán tervezték a terepjáró teljesítményére.,Ruota della Škoda 125 L. Il modello di pneumatici non è realmente progettato per le prestazioni fuoristrada.,Rueda del Škoda 125 L. El patrón de neumáticos no está realmente diseñado para el rendimiento fuera de la carretera.,Roue de la Škoda 125 L. Le motif de pneu n'est pas vraiment conçu pour les performances hors route.,škoda125 L.轮胎图案并不是为越野性能而设计的。,ホイールオブシュコダ125 L.タイヤパターンは、オフロードパフォーマンスのために実際には設計されていません。,Wheel of the Škoda 125 L. O padrão de pneus não foi realmente projetado para desempenho off-road.,škoda125 L.轮胎图案并不是为越野性能而设计的。
str_zlv_sedan_020,Škoda 125 L,Škoda 125 L,Škoda 125 l,Škoda 125 l,Škoda 125 L,Škoda 125 L.,ŠKODA 125 L,Škoda 125 l,Škoda 125 L,Škoda 125 L,škoda125 l,シュコダ125 l,Škoda 125 l,škoda125 l
str_zlv_v3s_cargo0,Praga V3S Cargo,Praga V3S Cargo,Praga v3s Cargo,Praga V3s Fracht,Грузовик Praga V3S,Praga V3S Cargo,Praga V3S rakomány,Praga V3s Cargo,Cargo Praga V3S,Cargo Praga V3S,Praga V3S货物,プラガV3S貨物,Carga Praga V3S,Praga V3S货物
str_zlv_v3s_chassis0,Praga V3S Chassis,Praga V3S Chassis,PRAGA V3S podvozek,Praga V3s Chassis,Шасси Praga V3S,Podwozie Praga V3s,Praga v3s alváz,Praga V3s Chassis,Chasis Praga V3S,Châssis Praga V3S,Praga V3S底盘,プラガV3Sシャーシ,Chassi Praga V3S,Praga V3S底盘
str_zlv_v3s_covered0,Praga V3S Covered,Praga V3S Covered,Praga v3s zakrytá,Praga V3s bedeckt,Крытый Praga V3S,Praga V3s Obejmuje,Praga v3s lefedett,Praga V3s coperto,Praga V3S cubierto,Praga V3S couvert,Praga V3覆盖了,Praga V3がカバーされました,Praga V3s cobertos,Praga V3覆盖了
str_zlv_v3sdoors_codriver0,Praga V3S Right Door,Praga V3S Right Door,Praga v3s pravé dveře,Praga V3s rechte Tür,Правая дверь Praga V3S,Praga V3s Prawe drzwi,Praga v3s jobb ajtó,Praga v3s Door destra,Puerta derecha de praga v3s,PRAGA V3S DORTE PORTE,Praga V3S右门,プラガV3S右ドア,Praga v3s porta direita,Praga V3S右门
str_zlv_v3sdoors_codriver1,Front right door of the V3S off-road truck. Keeps the co-driver safe inside the vehicle.,Front right door of the V3S off-road truck. Keeps the co-driver safe inside the vehicle.,Přední pravé dveře terénního vozu V3s. Uvnitř vozidla udržuje spoluzakladatele v bezpečí.,Vordere rechte Tür des V3S Offroad-Lastwagens. Hält den Mitfahrer sicher im Fahrzeug.,Передняя правая дверь внедорожника V3S. Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi ciężarówki terenowej V3S. Utrzymuje bezpieczny kierowca w pojeździe.,A V3S terepjáró teherautójának jobb oldali ajtója. Biztonságban tartja a Co-sof?r biztonságát a járm? belsejében.,Porta anteriore destra del camion fuoristrada V3S. Mantiene il co-driver sicuro all'interno del veicolo.,Puerta derecha delantera del camión todoterreno V3S. Mantiene el copiloto a salvo dentro del vehículo.,Porte avant droite du camion hors route V3S. Prude le copilote à l'intérieur du véhicule.,V3S越野卡车的前门。确保副驾驶在车内安全。,V3Sオフロードトラックの正面右ドア。車両内で共同ドライバーを安全に保ちます。,Porta frontal direita do caminhão V3S off-road. Mantém o co-piloto seguro dentro do veículo.,V3S越野卡车的前门。确保副驾驶在车内安全。
str_zlv_v3sdoors_driver0,Praga V3S Left Door,Praga V3S Left Door,Praga v3s levé dveře,Praga V3 linkte die Tür,Левая дверь Praga V3S,Lewe drzwi Praga V3s,Praga v3s bal ajtó,Praga v3s a sinistra,Puerta izquierda de praga v3s,PRAGA V3S PORTE PARTIE,Praga V3S左门,プラガV3が左ドア,PRAGA V3S PORTA ESPECTADA,Praga V3S左门
str_zlv_v3sdoors_driver1,Front left door of the V3S off-road truck. Keeps the driver safe inside the vehicle.,Front left door of the V3S off-road truck. Keeps the driver safe inside the vehicle.,Přední levé dveře terénního vozu V3s. Udrží řidiče v bezpečí uvnitř vozidla.,Vordere linke Tür des V3S Offroad-Lastwagens. Hält den Fahrer im Fahrzeug sicher.,Передняя левая дверь внедорожника V3S. Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi ciężarówki terenowej V3S. Utrzymuje kierowcę bezpieczeństwo w pojeździe.,A V3S terepjáró teherautójának bal oldali ajtója. A járm?vezet?t biztonságban tartja a járm? belsejében.,Porta anteriore sinistra del camion fuoristrada V3S. Mantenere il conducente al sicuro all'interno del veicolo.,La puerta delantera izquierda del camión todoterreno V3S. Mantiene al conductor seguro dentro del vehículo.,Porte avant gauche du camion hors route V3S. Gardez le conducteur en sécurité à l'intérieur du véhicule.,V3S越野卡车的左前门。确保驾驶员在车内安全。,V3Sオフロードトラックの最前線の左ドア。車内のドライバーを安全に保ちます。,Porta frontal esquerda do caminhão V3S off-road. Mantém o motorista seguro dentro do veículo.,V3S越野卡车的左前门。确保驾驶员在车内安全。
str_zlv_v3shood0,Praga V3S Hood,Praga V3S Hood,Praga v3s Hood,Praga V3s Motorhaube,Капот Praga V3S,Praga V3s Hood,Praga v3s Hood,Praga V3s Hood,Praga V3S Hood,Praga V3s Hood,Praga V3S引擎盖,プラガV3Sフード,Hood Praga V3S,Praga V3S引擎盖
str_zlv_v3shood1,Hood of the V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.,Hood of the V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.,Kapota terénního vozu V3S. Pomáhá chránit motor před silami přírody nebo neočekávanými dopady.,Haube des V3S Offroad-Lastwagens. Schützt den Motor vor Naturkräften oder unerwarteten Auswirkungen.,Капот внедорожника V3S. Помогает защитить двигатель от неблагоприятных погодных условий или неожиданного удара.,Hood of V3S Off-Road Truck. Pomaga chronić silnik przed siłami natury lub nieoczekiwanym skutkami.,A V3S terepjáró teherautó motorháztet?je. Segít megvédeni a motort a természet erõinek vagy a váratlan hatásoktól.,Cappuccio del camion fuoristrada V3S. Aiuta a proteggere il motore dalle forze della natura o impatti inaspettati.,Capucha del camión todoterreno V3S. Ayuda a proteger el motor contra las fuerzas de la naturaleza o los impactos inesperados.,Capot du camion hors route V3S. Aide à protéger le moteur contre les forces de la nature ou les impacts inattendus.,V3S越野卡车的引擎盖。有助于保护发动机免受自然力量或意外影响。,V3Sオフロードトラックのフード。自然の力や予期しない影響からエンジンを保護するのに役立ちます。,Capuz do caminhão off-road V3S. Ajuda a proteger o motor contra forças da natureza ou impactos inesperados.,V3S越野卡车的引擎盖。有助于保护发动机免受自然力量或意外影响。
str_zlv_v3swheel0,Praga V3S Wheel,Praga V3S Wheel,Kolo Praga v3s,Praga V3s Rad,Колесо Praga V3S,Koło Praga V3s,Praga v3s kerék,Ruota Praga V3s,Rueda Praga V3S,Roue praga v3s,Praga V3S轮,Praga V3Sホイール,Roda Praga V3S,Praga V3S轮
str_zlv_v3swheel1,A wheel of the V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.,A wheel of the V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.,Kolo terénního vozu V3S. Hluboký běhoun a specifický profil poskytují přilnavost v obtížných terénech.,Ein Rad des V3S Offroad-Lastwagens. Tiefe Profil und spezifisches Profil liefern schwierige Gelände.,Колесо внедорожника V3S. Глубокий протектор и специальный профиль обеспечивают сцепление на труднопроходимых участках дороги.,Koło ciężarówki terenowej V3S. Głęboki bieżnik i specyficzny profil zapewniają przyczepność w trudnych terenach.,A V3S terepjáró teherautó kereke. A mély futófelület és a specifikus profil megfogja a nehéz terepeket.,Una ruota del camion fuoristrada V3S. Il battistrada profonda e il profilo specifico forniscono presa in terreni difficili.,Una rueda del camión todoterreno V3S. La banda de rodadura profunda y el perfil específico proporcionan agarre en terrenos difíciles.,Une roue du camion hors route V3S. La bande de roulement profonde et le profil spécifique fournissent une emprise sur des terrains difficiles.,V3S越野卡车的轮子。深胎面和特定的轮廓在困难的地形中提供了抓地力。,V3Sオフロードトラックのホイール。ディープトレッドと特定のプロファイルは、困難な地形でグリップを提供します。,Uma roda do caminhão off-road V3S. Passo profundo e perfil específico fornecem aderência em terrenos difíceis.,V3S越野卡车的轮子。深胎面和特定的轮廓在困难的地形中提供了抓地力。
str_zlv_v3swheeldouble0,Praga V3S Dual Wheel,Praga V3S Dual Wheel,Praga v3s duální kolo,Praga V3s Dual Wheel,Двухскатное колесо Praga V3S,Praga V3S Dual Wheel,Praga v3s kett?s kerék,Praga V3s Dual Wheel,Praga v3s dual rueda,Praga V3s double roue,Praga V3S双轮,Praga V3sデュアルホイール,Praga V3S Dual Roda,Praga V3S双轮
str_zlv_v3swheeldouble1,Dual wheel of the V3S off-road truck. Used to keep heavy loaded truck steady while providing needed grip.,Dual wheel of the V3S offroad truck. Used to keep heavy loaded truck steady while providing needed grip.,Duální kolo terénního vozu V3s. Používá se k udržení těžkého nabitého nákladního vozidla stabilního a zároveň poskytuje potřebnou přilnavost.,"Dual Rad des V3S Offroad -Lastwagens. Wird verwendet, um schwer beladenes LKW stabil zu halten und gleichzeitig den erforderlichen Griff zu erhalten.",Двухскатное колесо внедорожника V3S. Улучшает управляемость и сцепление загруженного грузовика.,"Podwójne koło ciężarówki terenowej V3S. Służy do utrzymywania ciężkiej ciężarówki stabilnej, zapewniając potrzebny uchwyt.","A V3S offroad teherautó kett?s keréke. A nehéz tehergépjárm? -teherautó állandó tartásához használják, miközben biztosítja a szükséges markolatot.",Doppia ruota del camion Offroad V3S. Utilizzato per mantenere fermo il camion carico pesante fornendo una presa necessaria.,Rueda dual del V3S Offroad Truck. Se usa para mantener establezca el camión de carga pesada mientras proporciona un agarre necesario.,Double roue du camion hors route V3S. Utilisé pour maintenir le camion chargé lourd tout en fournissant une poignée nécessaire.,V3S越野卡车的双轮。用于保持重载的卡车稳定，同时提供所需的抓地力。,V3Sオフロードトラックのデュアルホイール。必要なグリップを提供しながら、重い積み込みトラックを安定させるために使用されます。,Roda dupla do caminhão offroad V3S. Usado para manter o caminhão carregado pesado estável enquanto fornece a aderência necessária.,V3S越野卡车的双轮。用于保持重载的卡车稳定，同时提供所需的抓地力。
syb_action_consume_blocked_headgear,Cannot eat or drink with a mask.,Do not eat or drink in mask.,Nelze jíst ani pít s maskou.,Essen oder trinken Sie nicht in der Maske.,Нельзя есть и пить в маске.,Nie można jeść ani pić maski.,Ne enni és inni maszkban.,Non mangiare o bere nella maschera.,No coma ni beba en la máscara.,Impossible de manger avec un masque.,不能用面具吃饭或喝酒。,マスクで食べたり飲んだりできません。,Não coma ou beba em máscara.,不能用面具吃饭或喝酒。
syb_action_consume_blocked_temp,Cannot be consumed frozen.,Cannot be consumed frozen,Nelze konzumovat zmrazené.,Kann nicht gefroren konsumiert werden,Нельзя употребить замороженным,Nie można spożywać zamrożonego.,Nem fogyasztható fagyasztva,Non può essere consumato congelato,No se puede consumir congelado,Ne peut pas être consommé gelé.,不能冻结。,凍結することはできません。,Não pode ser consumido congelado,不能冻结。
syb_action_empty_blocked_temp,Cannot be emptied frozen.,Cannot be emptied frozen,Nelze vyprázdnit zmrazení.,Kann nicht gefroren geleert werden,Нельзя опорожнить замороженным,Nie można opróżnić zamrożonego.,Nem szabad kiüríteni fagyasztva,Non può essere svuotato congelato,No se puede vaciar congelado,Ne peut pas être vidé gelé.,不能倒冷。,空にすることはできません。,Não pode ser esvaziado congelado,不能倒冷。
syb_action_forceconsume_blocked_headgear,Cannot eat or drink with a mask.,The mask interferes to feed.,Nelze jíst ani pít s maskou.,Die Maske stört die Fütterung.,Мешает маска чтобы накормить.,Nie można jeść ani pić maski.,A maszk zavarja az etetést.,La maschera interferisce per nutrirsi.,La máscara interfiere para alimentarse.,Impossible de manger avec un masque.,不能用面具吃饭或喝酒。,マスクで食べたり飲んだりできません。,A máscara interfere para alimentar.,不能用面具吃饭或喝酒。
syb_action_sleep,Sleep,Sleep,Spát,Schlafen,Спать,Spać,Alvás,Sonno,Dormir,Dormir,睡觉,寝る,Dormir,睡觉
syb_action_surg,Operate,Operate,Fungovat,Arbeiten,Оперировать,Działać,M?ködtet,Operare,Funcionar,Opérer,操作,動作します,Operar,操作
syb_action_suringe_blocked,You cannot inject through clothing.,You cannot inject through clothing.,Nemůžete vstříknout oblečením.,Sie können keine Kleidung injizieren.,Нельзя сделать укол через одежду.,Nie możesz wstrzykiwać ubrania.,A ruházaton keresztül nem lehet befecskendezni.,Non puoi iniettare attraverso l'abbigliamento.,No puedes inyectar a través de la ropa.,Impossible de piquer avec des vêtements.,您不能通过衣服注入。,衣服を注入することはできません。,Você não pode injetar através de roupas.,您不能通过衣服注入。
syb_action_testblood_blocked,You cannot inject through a glove.,You cannot inject through a glove.,Nemůžete vstříknout rukavicí.,Sie können keinen Handschuh injizieren.,Нельзя сделать укол через перчатку.,Nie możesz wstrzykiwać rękawicy.,Nem lehet injektálni egy keszty?n keresztül.,Non puoi iniettare attraverso un guanto.,No puedes inyectar a través de un guante.,Impossible de piquer avec des gants.,您无法通过手套注入。,グローブを介して注入することはできません。,Você não pode injetar através de uma luva.,您无法通过手套注入。
syb_action_trade,Trade,Trade,Obchod,Handeln,Торговать,Handel,Kereskedelmi,Commercio,Comercio,Commerce,贸易,貿易,Troca,贸易
syb_action_usesalve,Apply ointment,Apply ointment,Použít mast,Salbe anwenden,Нанести мазь,Zastosuj maść,Alkalmazza a ken?csöt,Applicare unguento,Aplicar ungüento,Appliquer la pommade,使用软膏,軟膏を適用します,Aplique pomada,使用软膏
syb_action_wash,Wash,Wash,Umýt,Waschen,Вымыть,Myć się,Mosás,Lavare,Lavar,Laver,洗,洗う,Lavar,洗
syb_actovegin_name,Actovegin,Actovegin,Actovegin,Actovegin,Актовегин,Actovegin,Actovegin,Attovegin,Activo,Actif,Actovegin,Actovegin,Actovegin,Actovegin
syb_adepress,Adepress,Adepress,Adepres,Adepress,Адепресс,Adepres,Bead,Adepress,Adepresión,Adepress,Adepress,AdePress,Adepress,Adepress
syb_admin_tool_messsage_title,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,Zpráva od admin,Nachricht von Admin,СООБЩЕНИЕ ОТ АДМИНИСТРАТОРА,Wiadomość od administratora,Üzenet az adminisztrátoroktól,Messaggio da amministratore,Mensaje de Admin,Message de l'administrateur,来自管理员的消息,管理者からのメッセージ,Mensagem de admin,来自管理员的消息
syb_adrenalin05_name,Epinephrine 0.5mg / ml,Epinephrine 0.5mg / ml,"Epinefrin 0,5 mg / ml","Epinephrin 0,5 mg / ml",Адреналин 0.5мг/мл,"Epinefryna 0,5 mg / ml","Epinefrin 0,5 mg / ml","Epinefrina 0,5 mg / ml",Epinefrina 0.5mg / ml,"Adrénaline 0,5 mg/ml",肾上腺素0.5mg / ml,エピネフリン0.5mg / ml,"Epinefrina 0,5mg / ml",肾上腺素0.5mg / ml
syb_adrenalin10_name,Epinephrine 1mg / ml,Epinephrine 1mg / ml,Epinefrin 1 mg / ml,Epinephrin 1mg / ml,Адреналин 1мг/мл,Epinefryna 1 mg / ml,Epinefrin 1 mg / ml,Epinefrina 1mg / ml,Epinefrina 1 mg / ml,Adrénaline 1 mg/ml,肾上腺素1mg / ml,エピネフリン1mg / ml,Epinefrina 1mg / ml,肾上腺素1mg / ml
syb_adrenalin30_name,Epinephrine 3mg / ml,Epinephrine 3mg / ml,Epinefrin 3mg / ml,Epinephrin 3 mg / ml,Адреналин 3мг/мл,Epinefryna 3 mg / ml,Epinefrin 3mg / ml,Epinefrina 3mg / ml,Epinefrina 3mg / ml,Adrénaline 3 mg/ml,肾上腺素3mg / ml,エピネフリン3mg / ml,Epinefrina 3mg / ml,肾上腺素3mg / ml
syb_adrenaline_name,Adrenalin,Adrenalin,Adrenalin,Adrenalin,Адреналин,Adrenalina,Adrenalin,Adrenalina,Adrenalina,Adrénaline,肾上腺素,アドレナリン,Adrenalina,肾上腺素
syb_aertal_name,Aertal,Aertal,V AERTÁLU,Aertal,Аэртал,Aertal,Aertális,Aertale,Aertal,Aertal,阿尔塔尔,Aertal,Aertal,阿尔塔尔
syb_agteminol,Agteminol,Agteminol,Agteminol,AGTEMINOL,Агтеминол,Agteminol,Agteminol,Agteminolo,Agteminol,Agteminol,Agteminol,アグテミノール,Agteminol,Agteminol
syb_aktaparoksetyn,Actaparoxetine,Actaparoxetine,Actaparoxetin,Actaparoxetin,Актапароксетин,Actaparoksetyna,Acaparoxetine,Actaparoxetine,Actaparoxetina,Actaparoxetine,阿甘帕托氨酸,Actaparoxetine,Actaparoxetina,阿甘帕托氨酸
syb_alcohol_name,Alcohol,Alcohol,Alkohol,Alkohol,Спирт,Alkohol,Alkohol,Alcol,Alcohol,Alcool,酒精,アルコール,Álcool,酒精
syb_amibaktam_name,Amibactam,Amibactam,Amibactam,Amibaktam,Амибактам,Amibactam,Amibaktám,Amibactam,Amibactama,Amibactam,Amibactam,Amibactam,Amibactam,Amibactam
syb_aminokapsulfat_name,Aminocaproic acid,Aminocaproic acid,Kyselina aminokaproová,Aminocaprosäure,Аминокапроновая кислота,Kwas aminokaproinowy,Aminokaproinsav,Acido aminocaproico,Ácido aminocaproico,Acide aminocaproïque,氨基酸酸,アミノカプロ酸,Ácido aminocaproico,氨基酸酸
syb_amitriptilin,Amitriptyline,Amitriptyline,Amitriptylin,Amitriptylin,Амитриптилин,Amitryptylina,Amitriptilin,Amitriptilina,Amitriptilina,Amitriptyline,阿米替林,アミトリプチリン,Amitriptilina,阿米替林
syb_amoksiklav_name,Amoxiclav,Amoxiclav,Amoxiclav,Amoxiclav,Амоксиклав,Amoxiclav,Amoxiklav,Amoxiclav,Amoxiclav,Amoxiclav,阿莫西克拉夫,amoxiclav,Amoxiclav,阿莫西克拉夫
syb_amoksivan_name,Amoxivan,Amoxivan,Amoxivan,Amoxivan,Амоксиван,Amoxivan,Amoxiván,Amoxivan,Amoxivano,Amoxivan,阿莫西万,アモキシバン,Amoxivan,阿莫西万
syb_ampicilin_name,Ampicillin,Ampicillin,Ampicililin,Ampicillin,Ампициллин,Ampicylin,Ampicillin,Ampicillina,Ampicilina,Ampicilline,氨苄青霉素,アンピシリン,Ampicilina,氨苄青霉素
syb_ampoule_desc,Shaped borosilicate amber glass injection vial is commonly used to store medical solutions. Only the name of the drug can be seen on the old paper label.,Shaped borosilicate amber glass injection vial is commonly used to store medical solutions. Only the name of the drug can be seen on the old paper label.,K ukládání lékařských řešení se běžně používá ve tvaru injekční lahvičky s borosilikátem jantaru. Na starém štítku papíru je vidět pouze název léku.,Geformte Bernsteinglaseinspritzung wird üblicherweise zur Aufbewahrung von medizinischen Lösungen verwendet. Nur der Name des Arzneimittels ist auf dem alten Papieretikett zu sehen.,Флакон для инъекций из формованного боросиликатного янтарного стекла обычно используется для хранения медицинских растворов. На старой бумажной этикетке можно рассмотреть только название препарата.,W kształcie borokrzemianowej fiolki wtrysku bursztynowego jest powszechnie stosowane do przechowywania roztworów medycznych. Tylko nazwa leku można zobaczyć na starej papierowej etykiecie.,A alakú boroszilikátus amber üveg befecskendez? fiolát általában használják az orvosi oldatok tárolására. Csak a gyógyszer neve látható a régi papírcímkén.,Fial iniezione di vetro ambra borosilicato a forma di soluzioni mediche. Solo il nome del farmaco può essere visto sulla vecchia etichetta di carta.,El vial de inyección de vidrio ámbar de borosilicato con forma se usa comúnmente para almacenar soluciones médicas. Solo se puede ver el nombre de la droga en la vieja etiqueta de papel.,"Un flacon d'injection en verre borosilicaté moulé de couleur ambre est généralement utilisé pour stocker des solutions médicales. Sur l'ancienne étiquette en papier, seul le nom du médicament peut être distingué.",形状的硼硅酸盐琥珀色玻璃注入小瓶通常用于存储医疗溶液。只能在旧纸标签上看到该药物的名称。,形状のホウ素酸塩湿布ガラス注入バイアルは、一般的に医療ソリューションを保存するために使用されます。古い紙のラベルには、薬の名前のみが見ることができます。,O frasco de injeção de vidro âmbar em forma de borossilicato é comumente usado para armazenar soluções médicas. Somente o nome do medicamento pode ser visto no rótulo de papel antigo.,形状的硼硅酸盐琥珀色玻璃注入小瓶通常用于存储医疗溶液。只能在旧纸标签上看到该药物的名称。
syb_ampoule_refill,Refill,Refill,Doplňte,Nachfüllung,Перелить,Wkład,Utántöltés,Ricarica,Rellenar,Transvaser,补充,補充,Reabastecer,补充
syb_analgin_name,Analgin,Analgin,Analgin,Analgin,Анальгин,Analgin,Analin,Analgin,Analglo,Analgin,肛门,アナイン,Analgin,肛门
syb_arsenic_name,Arsenic,Arsenic,Arsen,Arsen,Мышьяк,Arsen,Arzén,Arsenico,Arsénico,Arsenic,砷,砒素,Arsênico,砷
syb_b190,B-190,B-190,B-190,B-190,Б-190,B-190,B-190,B-190,B-190,B-190,B-190,B-190,B-190,B-190
syb_backpackselect,Backpacks,Backpacks,Batohy,Rucksäcke,Рюкзаки,Plecaki,Hátizsákok,Zaini,Mochilas,Sacs à dos,背包,バックパック,Mochilas,背包
syb_block_usesalve,"To apply the ointment, you must take off your clothes","To apply the ointment, you must take off your clothes","Chcete -li aplikovat mast, musíte si sundat oblečení","Um die Salbe anzuwenden, müssen Sie Ihre Kleidung ausziehen",Для нанесения мази необходимо снять одежду,"Aby zastosować maść, musisz zdjąć ubrania",A ken?cs alkalmazásához le kell vennie a ruháját,"Per applicare l'esagenziamento, devi toglierti i vestiti","Para aplicar la pomada, debe quitarse la ropa","Pour appliquer la pommade, il faut enlever les vêtements",要涂软膏，您必须脱下衣服,軟膏を塗るには、服を脱ぐ必要があります,"Para aplicar a pomada, você deve tirar suas roupas",要涂软膏，您必须脱下衣服
syb_bodyselect,Body clothes,Body clothes,Tělo oblečení,Körperkleidung,Верх,Ubrania ciała,Testruhák,Vestiti per il corpo,Ropa de cuerpo,Haut,身体衣服,ボディ服,Roupas do corpo,身体衣服
syb_carboxyme,Carboxyme,Carboxyme,Karboxyme,Carboxyme,Карбоксим,Carboxyme,Karboxim,Carbossima,Carboxima,Carboxim,羧基,カルボキシム,Carboximática,羧基
syb_charcoal_name,Activated carbon,Activated carbon,Aktivovaný uhlík,Aktivkohle,Активированный уголь,Węgiel aktywowany,Aktivált szén,Carbonia attivata,Carbón activado,Charbon activé,活性炭,活性炭,Carbono ativado,活性炭
syb_combine,Combine,Combine,Kombajn,Kombinieren,Объединить,Łączyć,Kombájn,Combina,Combinar,Combiner,结合,組み合わせる,Combinar,结合
syb_cutbookpage,Cut page from book,Cut page from book,Vystřihněte stránku z knihy,Seite aus Buch ausschneiden,Вырвать страницу,Wytnij stronę z książki,Vágott oldal a könyvb?l,Taglia la pagina dal libro,Cortar la página del libro,Arracher une page,从书中剪切页面,本からページをカットします,Corte a página do livro,从书中剪切页面
syb_cylaspen_name,Cilaspen,Cilaspen,Cilasspen,Cilaspen,Циласпен,Cilaspen,Cilaspen,Cilaspen,Cilaspen,Cilaspen,Cilaspen,チラスペン,Cilasten,Cilaspen
syb_cypermetrin_name,Cypermethrin,Cypermethrin,Cypermethrin,Cypermethrin,Циперметрин,Cypermetryna,Cypermethrin,Cypermethrin,Cypermetrina,Cipermétrine,cypermethrin,Cypermethrin,Cipermetrina,cypermethrin
syb_cyprolet_name,Tsiprolet,Tsiprolet,TsiProlet,Tsiprolet,Ципролет,Tsiprolet,Tsiprolet,Tsiprolet,Tsiprolet,Ciprolet,tsiprolet,Tsiprolet,Tsiprolet,tsiprolet
syb_cystamine,Cystamine,Cystamine,Cystamin,Cystamin,Цистамин,Cystamina,Cisztamin,Cistamina,Cistamina,Cystamine,凝岛胺,シスタミン,Cistamina,凝岛胺
